GEOID,county,Pop,White,Black,Asian,Hispanic
48439102402,439,4347,73.15,8.7,2.65,13.66
48439102500,439,3518,10.06,51.05,5.09,31.67
48439102601,439,3548,39.88,14.46,0.93,43.91
48439102602,439,3307,46.05,4.02,0.0,48.59
48439102700,439,3280,68.81,1.1,4.91,21.1
48439103500,439,5088,11.54,13.95,0.73,72.23
48439103601,439,2404,1.71,51.37,0.29,44.09
48439103602,439,2607,3.68,52.36,0.0,43.34
48439103701,439,4596,9.29,18.95,0.0,69.95
48439103702,439,3976,2.06,44.64,0.0,52.39
48439103800,439,3275,17.68,40.09,3.18,36.03
48113001502,113,3424,25.55,11.77,2.19,59.75
48113001503,113,2068,34.43,17.31,5.51,36.85
48113001504,113,2780,34.46,16.12,6.73,41.76
48113001601,113,2001,36.93,38.63,2.1,12.94
48113001602,113,2577,64.49,13.85,10.28,10.01
48113001703,113,3631,63.45,3.53,12.12,14.24
48113001705,113,2536,72.32,6.66,6.82,10.61
48113001801,113,2506,80.89,8.42,3.43,5.03
48113001802,113,3059,73.65,4.87,10.89,9.38
48113001901,113,3683,74.88,2.77,6.95,13.09
48113001902,113,4492,64.29,15.52,5.1,12.98
48113002001,113,2597,31.31,34.23,4.43,26.45
48113002002,113,3586,7.45,4.16,0.0,87.79
48113002100,113,2659,54.31,21.44,8.31,9.89
48113002200,113,2731,53.53,14.9,10.22,17.87
48113002400,113,2741,18.1,4.89,3.54,73.11
48113002500,113,6281,5.81,19.47,0.0,72.33
48113002703,113,5901,0.63,66.21,2.08,31.08
48113003102,113,1372,75.73,9.62,1.75,12.54
48113003103,113,2440,56.43,18.69,2.66,16.43
48113003700,113,3098,12.75,54.49,0.36,32.41
48113004201,113,4060,41.48,3.52,0.32,52.22
48113004202,113,1984,41.99,0.86,5.09,50.35
48113004300,113,3625,24.47,23.42,1.63,46.07
48113004400,113,3906,65.03,9.06,1.08,21.4
48113004500,113,6101,17.21,5.52,0.36,76.05
48113004600,113,2089,44.47,16.47,0.38,35.57
48113004700,113,2935,14.34,2.28,0.0,83.17
48113004800,113,2583,3.37,2.21,0.19,92.02
48113005000,113,3560,6.66,3.68,0.0,89.66
48113005100,113,2928,7.62,0.96,0.0,90.4
48113005200,113,5098,20.62,6.61,0.0,70.73
48113005300,113,7066,12.1,0.69,0.85,86.06
48113005400,113,6140,7.38,24.23,1.51,61.38
48113005500,113,4615,3.6,49.62,0.0,46.78
48113005600,113,7834,1.01,15.42,0.0,82.32
48113005700,113,5163,2.52,53.84,0.5,43.0
48113001400,113,3843,35.15,14.91,3.62,44.16
48113005901,113,5669,1.48,54.88,0.07,43.45
48113005902,113,5048,4.24,65.57,0.0,30.19
48113006001,113,4452,1.8,5.3,0.0,92.72
48113006002,113,6072,14.16,51.94,2.78,30.67
48113006100,113,4808,9.59,44.59,0.0,44.78
48113006200,113,6783,10.79,37.74,1.4,49.74
48113006301,113,6333,4.96,7.58,0.0,86.86
48113006302,113,4549,17.19,5.28,0.0,77.53
48113006401,113,3002,10.49,1.17,0.0,87.94
48121021622,121,6629,47.67,5.96,26.26,16.41
48121021626,121,2786,68.05,6.6,17.34,5.71
48121021630,121,5452,48.18,13.63,15.02,21.44
48121021631,121,6108,48.58,9.97,15.82,22.31
48121021632,121,3382,65.43,15.08,8.66,8.31
48121021633,121,5160,63.7,2.54,9.75,21.57
48121021634,121,4907,39.27,34.4,1.75,20.34
48121021635,121,5238,29.95,43.45,5.54,17.96
48121021637,121,4466,31.59,36.32,5.08,22.19
48121021638,121,4478,31.02,19.52,17.78,25.84
48121021639,121,3173,63.66,4.98,11.53,13.39
48121021640,121,2234,45.97,9.18,15.49,26.5
48121021641,121,4596,39.64,23.67,10.1,18.8
48121021642,121,3487,40.38,29.88,6.62,23.11
48121021643,121,4957,45.35,12.43,31.75,5.29
48121021644,121,2079,64.36,6.93,20.01,8.71
48121021645,121,1246,19.82,0.0,0.0,80.18
48121021646,121,6485,43.27,21.09,20.88,13.11
48121021647,121,4018,69.69,6.37,5.23,11.87
48121021648,121,3301,87.61,3.88,2.57,4.88
48121021649,121,3740,35.35,11.47,42.78,8.66
48121021650,121,4833,28.16,9.19,54.33,4.97
48121021651,121,4254,48.97,15.49,22.94,9.57
48121021652,121,3078,58.97,4.32,30.99,5.49
48121021653,121,1653,34.72,0.0,45.86,15.0
48121021654,121,3168,23.93,0.54,66.1,8.96
48121021655,121,1596,76.75,5.45,9.65,6.77
48121021715,121,4690,54.03,11.88,14.03,16.99
48121021716,121,5038,44.58,10.76,17.29,22.23
48121021717,121,5599,59.35,6.89,4.39,26.36
48121021719,121,5379,78.29,6.38,3.79,8.57
48121021720,121,3490,62.32,2.75,22.44,8.6
48121021721,121,4502,63.04,9.35,9.46,10.33
48121021722,121,4137,70.85,7.23,1.93,17.07
48121021723,121,1429,49.13,9.31,8.12,23.58
48121021724,121,4238,75.86,5.66,11.02,3.78
48121021725,121,4352,71.67,4.85,9.79,9.72
48121021726,121,3618,82.06,2.85,4.84,7.82
48121021727,121,4880,60.31,6.35,20.84,9.75
48121021728,121,3364,44.89,12.51,5.59,35.17
48121021729,121,2892,77.28,4.32,6.19,9.2
48121021730,121,3214,73.62,5.85,9.15,7.9
48121021731,121,3275,55.45,16.18,12.58,13.37
48121021732,121,2159,27.05,20.8,21.03,28.49
48121021733,121,2724,39.87,20.15,11.23,21.29
48121021734,121,3511,35.09,26.2,5.16,30.7
48221160100,221,5116,86.49,2.72,0.53,7.37
48221160204,221,3580,87.01,0.0,0.0,11.37
48221160206,221,4171,86.12,1.39,0.5,10.84
48221160210,221,6518,91.98,0.0,1.8,1.41
48221160211,221,3960,78.61,0.0,0.0,19.87
48221160212,221,3781,86.25,2.62,0.0,11.13
48221160213,221,3555,82.9,0.0,0.0,17.1
48221160214,221,4207,76.63,0.31,0.69,21.16
48221160215,221,2725,72.99,0.0,0.0,27.01
48221160216,221,3399,89.2,0.0,0.0,8.44
48439104100,439,3547,61.74,2.88,10.85,22.33
48439104202,439,3453,67.88,2.84,4.72,22.3
48439104203,439,3763,69.41,8.53,5.58,11.29
48439104204,439,2315,96.2,0.0,1.08,2.46
48439104301,439,3387,72.63,4.02,5.37,12.19
48439104302,439,3632,81.69,0.85,0.58,12.64
48439104400,439,5927,38.03,1.45,0.17,54.75
48439104502,439,3053,14.15,9.76,0.0,74.71
48439104503,439,2660,0.49,1.69,3.68,94.14
48439104504,439,3006,11.28,4.42,0.7,83.43
48439104505,439,4834,5.42,40.79,0.0,53.04
48439104601,439,5361,0.62,36.13,1.42,61.67
48439104602,439,4658,5.73,24.5,0.97,68.29
48439104603,439,3966,4.51,13.64,1.71,80.13
48439104604,439,3363,1.72,55.34,0.0,41.63
48439104605,439,5597,5.91,43.83,1.86,44.67
48439104701,439,4760,5.97,0.19,2.56,90.08
48439104702,439,3239,3.92,3.61,0.77,90.77
48439104802,439,5395,19.18,10.25,1.58,67.73
48439104803,439,7314,13.28,3.17,12.65,68.96
48439104804,439,3075,9.14,0.65,2.6,87.45
48439104900,439,3225,15.41,2.7,6.6,75.01
48439105007,439,5595,56.85,12.35,18.5,8.03
48439105008,439,9816,45.83,9.87,8.96,27.18
48439105009,439,6713,10.29,1.56,0.3,86.97
48439105201,439,5467,25.79,28.61,0.16,40.22
48439105203,439,3418,36.63,7.55,2.31,46.37
48439105204,439,3659,31.27,34.98,1.8,30.06
48439105206,439,2365,45.45,26.26,0.0,26.72
48439105207,439,3249,20.34,65.04,4.89,7.79
48439105403,439,6094,69.4,1.56,14.44,11.93
48439105404,439,3873,89.0,0.28,0.23,7.41
48439105405,439,3788,68.85,12.25,3.48,11.4
48439105407,439,2576,65.3,7.3,2.37,20.46
48439105408,439,2333,81.87,0.73,2.83,8.83
48439105502,439,7700,44.83,13.49,1.08,35.44
48439105503,439,5662,60.77,10.46,6.38,21.76
48439105505,439,5067,43.0,16.26,5.72,26.05
48439105511,439,6207,31.48,39.04,0.26,26.53
